0.00356, None,Kepler-294 c,,0.24177
None ,0.08384,Kepler-263 c,,0.220359
0.18,0.375,Kepler-349 b,,0.169507
34.1, None,Kepler-1563 b,,0.067
6.4, None,Kepler-1611 b,,0.072
0.045, None,Kepler-1284 b,,0.108
0.33, None,HD 200964 b,,
0.408, None,Kepler-706 b,,1.175
0.65, None,HD 147018 b,,
0.04836, None,HD 218566 b,,
1.47, None,HD 45364 b,,
1.061, None,Kepler-1177 b,,0.17
1.11, None,Kepler-1364 b,,0.192
5.1, None,Kepler-653 b,,0.174
6.37, None,Kepler-553 b,,0.413
21.42, None,Kepler-361 b,,0.12936
12.47, None,Kepler-318 c,,0.328308
4.2, None,WASP-140 b,,1.23957
0.05129,0.1989,Kepler-372 b,,0.121331
26, None,Kepler-197 e,,0.0811848
1.36,1.21,HD 141937 b,,
0.91, None,K2-11 b,,1.35591
1.7, None,Kepler-405 c,,0.415737
1.6, None,Kepler-104 d,,0.319386
0.72,1.25,Kepler-702 b,,0.818
15,1.31,Kepler-26 d,,0.095459
3.96,1.16,Kepler-159 b,,0.212329
7.8, None,HD 156668 b,,
None , None,MOA-2009-BLG-387L b,,
9, None,Kepler-1045 b,,0.24
6.1, None,Kepler-905 b,,0.126
6.5, None,Kepler-763 b,,0.109
5.5, None,Kepler-1376 b,,0.094
7.8,1.86,Kepler-32 f,,0.0730903
12, None,WASP-103 b,,1.528
12.31, None,Kepler-990 c,,0.136
6.4,1.12,WASP-131 b,,1.24159
2.75,0.97,Kepler-221 e,,0.234633
2.49,1.39,Kepler-1028 b,,0.119
0.917,1.44,Kepler-256 c,,0.19181
1.308,0.885,GJ 649 b,,
7.6,1.09,Kepler-1333 b,,0.251
0.53,1.17,Kepler-276 b,,0.256044
2.45,1.02,Kepler-1042 b,,0.195
3.47,1.31,Kepler-264 c,,0.252476
1.11,1.45,HD 132406 b,,
1.03,1.49,Kepler-143 b,,0.215006
4.3,0.84,Kepler-1225 b,,0.162
17, None,Kepler-189 c,,0.212329
2.26,1.3,HD 38529 c,,
0.0383853,0.435365216,Kepler-62 b,,0.116766
2.8,1.05,Kepler-281 b,,0.251584
 ,0.33,Kepler-1006 b,,0.137
0.088,0.44,Kepler-196 c,,0.199839
0.27,1.08,Kepler-238 c,,0.213222
0.52,1.26,Kepler-49 c,,0.227293
10.39,1.007,Kepler-55 c,,0.196987
0.484,0.955,Kepler-791 b,,0.272
0.85,0.97,WASP-19 b,,1.386
3.31,1.465,Kepler-310 d,,0.220359
2.9,1.009,Kepler-619 c,,0.151
0.84,1.46,Kepler-204 c,,0.159693
21.66,1.01,Kepler-26 b,,0.320884
0.72,1.19,Kepler-374 c,,0.0981354
0.467,1.388,Kepler-395 b,,0.0918904
2.96,1.166,WASP-93 b,,1.1048
0.0151,0.15,K2-16 b,,0.18364
0.0264, None,HD 126614 A b,,
0.22,0.57,Kepler-875 b,,0.259
0.84,1.05,Kepler-1508 b,,0.119
0.15,0.57,Kepler-1568 b,,0.116
 ,2.4,Kepler-80 e,,0.146311
12, None,Kepler-83 d,,0.173075
12, None,Kepler-519 b,,0.187
0.07636, None,Kepler-192 d,,0.091
0.0302, None,Kepler-167 b,,0.12936
0.01054, None,HD 215152 b,,
0.01299, None,Kepler-772 b,,0.162
0.437, None,Kepler-295 d,,0.121331
0.00812, None,Kepler-337 b,,0.13739
6.05, None,HIP 67537 b,,
None ,0.509,HD 177830 b,,
None ,0.093,Kepler-516 b,,0.512
None ,0.218,Kepler-1562 b,,0.317
None ,0.167,Kepler-226 d,,0.108841
 ,0.2453,K2-99 b,,1.30151
None ,0.202,HD 42012 b,,
None ,0.17,HD 38283 b,,
None ,0.23,Kepler-386 b,,0.124008
None ,0.246,Kepler-922 b,,0.127
None ,0.188,HD 217786 b,,
None ,0.319,Kepler-363 c,,0.150772
None ,0.215,Kepler-687 b,,0.314
None ,0.2007,Kepler-1457 b,,0.178
None ,0.062,CoRoT-24 c,,0.427902
0.05,0.434,Kepler-567 b,,0.201
0.138,0.691,Kepler-1453 b,,0.238
None ,0.102,Kepler-24 d,,0.148987
0.09156,0.397,HD 32518 b,,
None ,0.172,Kepler-980 b,,0.238
None ,0.118,Kepler-472 b,,0.287
None ,1.472,Kepler-402 c,,0.139174
0.085,0.3426,Kepler-435 b,,1.99
None ,0.695,WASP-18 b,,1.267
None ,0.214,HD 145934 b,,
None ,0.164,CoRoT-6 b,,1.166
None ,0.174,Kepler-127 c,,0.237309
None ,0.443,Kepler-839 b,,0.229
 , ,Kepler-203 c,,0.220359
None ,0.67,Kepler-1234 b,,0.251
None ,0.228,Kepler-1127 b,,0.175
None ,0.081,Kepler-732 c,,0.113
None ,0.353,HD 73267 b,,
None ,0.098,HD 147513 b,,
None ,0.205,K2-28 b,,0.211187
0.02504,0.2123,Kepler-1528 b,,0.13
0.02363, None,Kepler-893 b,,0.27
None ,0.51,Kepler-1387 b,,0.083
0.066,0.52,Kepler-1062 b,,0.157
0.085,0.723,HD 72659 b,,
None ,0.144,K2-29 b,,1.21422
None ,0.245,BD +14 4559 b,,
None ,0.244,HD 1605 b,,
1.774, ,Kepler-79 b,,0.316
0.0378,0.138,Kepler-202 b,,0.145419
0.031,0.216,Kepler-709 b,,0.261
3.6,0.451,HD 197037 b,,
None ,0.142,HD 70642 b,,
None ,0.171,KELT-2 A b,,1.286
None ,0.152,Kepler-10 b,,0.126327
None ,0.09,Kepler-208 e,,0.132037
None ,0.145,Kepler-1365 b,,0.082
None ,0.08,Kepler-270 c,,0.157909
None ,0.086,Kepler-966 b,,0.368
None ,0.212,Kepler-1010 b,,0.207
 ,0.2052,HD 17674 b,,
 ,0.306,K2-24 c,,0.715399
